,Unnamed: 0,Unnamed: 0.1,cell_x,cell_y,death_time
67,67,67,1118.7668579626973,168.36226685796268,240
68,68,68,1264.993543758967,971.1169296987084,240
69,69,69,1142.6406025824965,997.9748923959828,240
70,70,70,560.7180774748923,351.8916786226685,255
71,71,71,620.4024390243902,314.58895265423234,255
72,72,72,662.1814921090388,369.7969870875178,255
73,73,73,623.3866571018651,402.6233859397416,255
74,74,74,665.1657101865136,405.6076040172165,255
75,75,75,669.642037302726,441.41822094691526,255
76,76,76,553.2575322812053,465.29196556671445,255
77,77,77,635.3235294117646,510.0552367288378,255
78,78,78,1072.5114777618364,229.538737446198,255
79,79,79,1154.577474892396,241.4756097560976,255
80,80,80,1224.7065997130558,335.4784791965567,255
81,81,81,1208.293400286944,1012.8959827833572,255
82,82,82,1194.864418938307,977.0853658536583,255
83,83,83,1335.1226685796269,945.751076040172,255
84,84,84,125.02223816355816,935.30631276901,270
85,85,85,557.7338593974175,407.099713055954,270
86,86,86,599.512912482066,359.35222381635566,270
87,87,87,744.2474892395983,411.5760401721664,270
88,88,88,1145.6248206599714,307.1284074605452,270
89,89,89,1227.690817790531,963.6563845050214,270
90,90,90,20.574605451936925,978.5774748923958,285
91,91,91,69.81420373027264,966.6406025824962,285
92,92,92,107.1169296987088,981.5616929698708,285
93,93,93,142.92754662840753,1011.4038737446195,285
94,94,94,172.7697274031564,642.8529411764705,285
95,95,95,612.941893830703,990.5143472022952,285
96,96,96,751.7080344332852,242.967718794835,285
97,97,97,783.0423242467717,362.3364418938306,285
98,98,98,1162.0380200860832,335.4784791965567,285
99,99,99,1199.3407460545193,316.0810616929698,285
100,100,100,1206.8012912482066,277.28622668579624,285
101,101,101,28.03515064562416,1018.8644189383068,300
102,102,102,130.99067431850796,1032.2934002869438,300
103,103,103,63.845767575322846,839.8113342898132,300
104,104,104,75.78263988522242,793.5559540889525,300
105,105,105,119.05380200860836,815.9375896700142,300
106,106,106,162.3249641319943,799.5243902439023,300
107,107,107,35.49569583931139,328.01793400286937,300
108,108,108,739.7711621233859,359.35222381635566,300
109,109,109,626.37087517934,196.71233859397415,300
110,110,110,629.3550932568148,162.3938307030129,300
111,111,111,654.7209469153515,131.0595408895266,300
112,112,112,662.1814921090388,165.3780487804878,300
113,113,113,677.1025824964132,202.680774748924,300
114,114,114,692.0236728837876,157.91750358680062,300
115,115,115,730.8185078909613,204.17288378766148,300
116,116,116,717.3895265423241,144.48852223816357,300
117,117,117,90.70373027259691,184.77546628407453,300
118,118,118,20.574605451936925,104.20157819225255,315
119,119,119,189.1829268292683,671.203012912482,315
120,120,120,22.06671449067437,814.4454806312767,315
121,121,121,257.8199426111908,829.3665710186513,315
122,122,122,299.59899569583933,856.2245337159253,315
123,123,123,611.4497847919655,125.0911047345768,315
124,124,124,775.5817790530846,301.1599713055954,315
125,125,125,815.8687230989958,281.76255380200865,315
126,126,126,656.2130559540889,554.8185078909612,315
127,127,127,35.49569583931139,165.3780487804878,330
128,128,128,8.637733142037362,144.48852223816357,330
129,129,129,186.19870875179345,774.1585365853657,330
130,130,130,356.29913916786234,880.0982783357242,330
131,131,131,757.6764705882354,204.17288378766148,330
132,132,132,824.8213773314203,329.5100430416069,330
133,133,133,860.6319942611191,322.0494978479196,330
134,134,134,89.21162123385945,720.4426111908176,345
135,135,135,1020.2876614060256,447.386657101865,345
136,136,136,1048.6377331420372,430.97345767575325,345
137,137,137,290.6463414634147,804.0007173601148,360
138,138,138,318.9964131994261,805.4928263988521,360
139,139,139,1087.4325681492107,419.0365853658536,360
140,140,140,1023.2718794835008,398.1470588235293,360
141,141,141,875.5530846484934,420.5286944045912,375
142,142,142,1103.8457675753227,448.87876614060247,375
143,143,143,366.7439024390243,847.2718794835007,390
144,144,144,369.7281205164993,804.0007173601148,390
145,145,145,1071.019368723099,299.66786226685787,390
0,0,0,802.4397417503586,660.7582496413197,0
1,1,1,332.4253945480632,350.3995695839311,15
2,2,2,393.6018651362984,357.86011477761826,15
3,3,3,474.17575322812047,556.3106169296988,15
4,4,4,281.69368723098995,389.1944045911047,30
5,5,5,278.7094691535151,305.63629842180774,30
6,6,6,310.0437589670014,277.28622668579624,30
7,7,7,344.3622668579627,287.7309899569584,30
8,8,8,460.7467718794834,205.6649928263988,30
9,9,9,414.4913916786227,187.7596843615495,30
10,10,10,456.2704447632712,84.80416068866576,30
11,11,11,1103.8457675753227,465.29196556671445,30
12,12,12,1135.180057388809,475.73672883787657,30
13,13,13,504.0179340028695,219.0939741750359,45
14,14,14,412.9992826398852,168.36226685796268,45
15,15,15,399.57030129124814,145.98063127690102,45
16,16,16,399.57030129124814,113.15423242467728,45
17,17,17,362.267575322812,128.0753228120517,45
18,18,18,366.7439024390243,89.28048780487802,45
19,19,19,427.9203730272597,104.20157819225255,45
20,20,20,481.6362984218077,111.6621233859398,45
21,21,21,499.541606886657,56.454088952654274,45
22,22,22,1262.009325681492,101.21736011477763,45
23,23,23,1270.9619799139164,135.53586800573885,45
24,24,24,1123.2431850789096,508.5631276901004,45
25,25,25,405.538737446198,20.64347202295562,60
26,26,26,438.36513629842176,14.675035868005809,60
27,27,27,462.2388809182209,31.08823529411768,60
28,28,28,451.7941176470587,177.31492109038732,60
29,29,29,471.1915351506456,242.967718794835,60
30,30,30,435.3809182209469,360.8443328550932,60
31,31,31,1144.1327116212335,560.786944045911,60
32,32,32,427.9203730272597,419.0365853658536,75
33,33,33,468.2073170731708,404.1154949784792,75
34,34,34,518.9390243902438,180.29913916786225,75
35,35,35,1139.6563845050216,584.66068866571,75
36,36,36,1182.9275466284073,554.8185078909612,90
37,37,37,1191.880200860832,589.1370157819224,90
38,38,38,38.47991391678629,401.1312769010042,105
39,39,39,20.574605451936925,260.8730272596844,105
40,40,40,583.0997130559541,19.151362984218167,105
41,41,41,1172.4827833572456,519.0078909612623,105
42,42,42,16.098278335724586,368.3048780487805,120
43,43,43,39.97202295552371,328.01793400286937,120
44,44,44,595.0365853658536,245.95193687230997,120
45,45,45,565.1944045911048,420.5286944045912,135
46,46,46,548.7812051649928,459.3235294117646,135
47,47,47,630.8472022955524,472.75251076040166,135
48,48,48,632.3393113342897,175.82281205164998,135
49,49,49,794.9791965566715,174.33070301291252,135
50,50,50,893.4583931133427,222.0781922525107,135
51,51,51,878.5373027259683,247.4440459110474,135
52,52,52,586.083931133429,454.8472022955523,150
53,53,53,680.086800573888,495.1341463414633,150
54,54,54,695.0078909612625,181.7912482065997,150
55,55,55,897.9347202295552,238.4913916786227,150
56,56,56,1081.4641319942614,987.5301291248204,165
57,57,57,684.5631276901004,656.2819225251075,180
58,58,58,993.4296987087516,912.9246771879484,180
59,59,59,647.2604017216643,618.9791965566714,195
60,60,60,709.9289813486371,686.1241032998563,195
61,61,61,1006.8586800573888,939.7826398852224,195
62,62,62,1006.8586800573888,890.5430416068864,195
63,63,63,1006.8586800573888,851.748206599713,195
64,64,64,739.7711621233859,13.182926829268355,210
65,65,65,774.0896700143472,544.3737446197989,210
66,66,66,748.7238163558105,581.6764705882352,210
67,67,67,783.0423242467717,578.6922525107602,210
68,68,68,656.2130559540889,689.1083213773312,210
69,69,69,638.3077474892395,717.4583931133427,210
70,70,70,814.3766140602584,736.8558106169296,210
71,71,71,821.8371592539453,705.5215208034433,210
72,72,72,866.6004304160688,681.647776183644,210
73,73,73,965.0796269727404,881.5903873744618,210
74,74,74,703.9605451936873,28.10401721664277,225
75,75,75,815.8687230989958,553.3263988522236,225
76,76,76,815.8687230989958,592.1212338593973,225
77,77,77,784.5344332855092,689.1083213773312,225
78,78,78,463.7309899569584,699.5530846484934,240
79,79,79,747.2317073170731,469.7682926829268,255
80,80,80,614.4340028694404,678.6635581061691,255
81,81,81,387.63342898134863,669.7109038737445,270
0,0,0,686.0552367288377,535.4210903873743,0
1,1,1,612.941893830703,581.6764705882352,15
2,2,2,656.2130559540889,568.2474892395983,15
3,3,3,699.4842180774748,566.7553802008607,15
4,4,4,757.6764705882354,557.8027259684361,15
5,5,5,757.6764705882354,520.4999999999999,15
6,6,6,760.6606886657103,481.7051649928263,15
7,7,7,714.4053084648492,447.386657101865,15
8,8,8,668.1499282639885,417.5444763271162,30
9,9,9,786.0265423242469,489.1657101865136,30
10,10,10,859.1398852223816,511.5473457675753,30
11,11,11,900.91893830703,516.0236728837876,30
12,12,12,863.6162123385941,429.4813486370159,30
13,13,13,601.0050215208033,410.0839311334289,45
14,14,14,723.357962697274,459.3235294117646,45
15,15,15,744.2474892395983,456.3393113342897,45
16,16,16,781.5502152080342,399.6391678622668,45
17,17,17,739.7711621233859,381.7338593974175,45
18,18,18,709.9289813486371,311.60473457675744,45
19,19,19,827.8055954088952,392.1786226685797,45
20,20,20,860.6319942611191,360.8443328550932,45
21,21,21,909.8715925394548,377.2575322812052,45
22,22,22,911.363701578192,420.5286944045912,45
23,23,23,847.203012912482,535.4210903873743,45
24,24,24,818.8529411764705,553.3263988522236,45
25,25,25,802.4397417503586,519.0078909612623,45
26,26,26,501.0337159253945,474.2446197991392,60
27,27,27,569.6707317073169,422.0208034433285,60
28,28,28,596.5286944045912,362.3364418938306,60
29,29,29,836.7582496413199,481.7051649928263,60
30,30,30,783.0423242467717,436.94189383070295,60
31,31,31,809.9002869440459,366.81276901004304,60
32,32,32,818.8529411764705,332.4942611190818,60
33,33,33,777.073888091822,348.9074605451937,60
