,cell_x,cell_y,death_time
50,344.54438280166426,1022.4694868238557,5
51,464.266990291262,954.6747572815535,5
52,436.8606102635227,898.4195561719835,5
53,669.0936199722605,167.10194174757328,5
54,664.766296809986,139.69556171983402,5
55,921.5208044382797,881.110263522885,5
56,1075.8619972260747,76.22815533980634,5
57,1368.677531206657,249.32108183079094,5
58,1321.0769764216363,182.96879334258017,5
59,1305.2101248266292,738.3085991678226,5
60,1326.8467406380023,729.6539528432734,5
61,1308.0950069348123,716.6719833564496,5
62,1352.8106796116501,858.0312066574204,5
63,1344.1560332871009,883.9951456310681,5
64,1378.7746185852977,798.8911234396672,5
65,215.07142857142873,634.0714285714287,6
66,197.9285714285715,708.357142857143,6
67,233.64285714285728,735.5000000000001,6
68,370.7857142857144,1011.2142857142858,6
69,467.9285714285716,979.7857142857144,6
70,447.9285714285716,954.0714285714287,6
71,437.9285714285716,929.7857142857144,6
72,455.0714285714287,925.5000000000001,6
73,646.5000000000002,139.78571428571445,6
74,602.2142857142858,194.07142857142867,6
75,620.7857142857144,204.07142857142867,6
76,637.9285714285716,546.9285714285716,6
77,939.3571428571431,909.7857142857144,6
78,853.6428571428573,166.92857142857156,6
79,1047.9285714285718,46.92857142857156,6
80,132.21428571428584,419.78571428571445,7
81,149.357142857143,408.357142857143,7
82,137.92857142857156,386.92857142857156,7
83,162.21428571428584,361.2142857142858,7
84,130.7857142857144,341.2142857142858,7
85,122.21428571428584,321.2142857142858,7
86,142.21428571428584,319.78571428571445,7
87,60.7857142857144,26.92857142857156,7
88,182.21428571428584,671.2142857142859,7
89,293.6428571428573,908.357142857143,7
90,347.9285714285716,989.7857142857144,7
91,403.6428571428573,1015.5000000000002,7
92,430.7857142857145,1026.9285714285716,7
93,433.64285714285734,998.3571428571431,7
94,426.50000000000017,958.357142857143,7
95,622.214285714286,575.5000000000001,7
96,616.5000000000002,544.0714285714287,7
97,656.5000000000002,521.2142857142859,7
98,982.214285714286,916.9285714285716,7
99,896.5000000000003,836.9285714285716,7
100,856.5000000000002,194.07142857142867,7
101,872.214285714286,214.07142857142867,7
102,820.7857142857144,61.21428571428589,7
